Date,XJO - Index,CBA,BHP,WBC,ANZ,NAB,TLS,WOW,WES,CSL,WPL,RIO,WDC,QBE,SUN,MQG,ORG,STO,AMP,BXB,FMG,AMC,IAG,OSH,CWN,NCM,TCL,AZJ,CCL,WRT,SGP,AGK,SYD,GMG,RHC,ORI,ASX,SHL,GPT,MGR,LEI,CFX,LLC,AIO,WOR,CPU,CTX,APA,REA,FLT,DXS,ILU,TTS,JHX,IPL,BEN,TOL,SPN,SEK,ALQ,BLD,COH,FDC,HVN,PTM,BOQ,QAN,TWE,TPM,BSL,MTS,AWC,GNC,CGF,CPA,CRZ,ANN,PRY,ALL,SUL,DUE,TAH,SWM,NVT,SVW,EGP,ABC,SKI,MIN,RRL,ENV,WHC,IFL,ALZ,SGM,JBH,DOW,IOF,DLX
01-Jan-07,5669.867,49.48,25.3,24.167,28.21,40.4,4.14,23.666,34.796,21.788,37.193,58.6,16.336,28.85,17.906,78.93,7.9138,9.113,9.721,12.763,1.327,6.7838,6.35,3.35,,24.174,7.5789,,7.7251,,7.8213,15.664,2.6138,33.407,11.35,22.638,37.559,14.88,18.944,4.9653,19.577,2.33,17.815,,21.129,8.9,23,4.2,5.55,16.663,1.691,5.9165,3.5491,9.3573,1.5847,13.768,9.3202,1.2866,5.88,4.3014,7.4248,58,,3.8,,14.923,5.0739,,0.6431,35.116,4.67,5.1587,7.1662,4.12,1.4659,,11.25,9.6159,15.9,2.8749,2.7866,9.2013,10.959,1.92,11.33,,2.6904,,2.05,0.9973,1.145,,10.707,7.3929,20.147,6.55,6.7509,5.4189,
02-Jan-07,5670.207,49.7,25.53,24.147,28.13,40.66,4.12,23.508,35.111,21.801,37.388,58.987,16.102,28.61,17.985,79.65,8.0765,9.1314,9.7114,12.833,1.314,6.7838,6.27,3.41,,24.587,7.559,,7.755,,7.7457,15.615,2.5775,32.528,11.27,22.507,37.559,14.74,18.707,4.8676,19.655,2.3,17.776,,21.149,8.83,23.4,4.14,5.54,16.653,1.6577,5.8809,3.5491,9.4352,1.5999,13.65,9.3763,1.2962,5.87,4.3695,7.4345,59.1,,3.82,,15.048,5.0739,,0.6431,35.564,4.67,5.175,7.1818,4.16,1.426,,11.22,9.6448,16.1,2.9503,2.7771,9.2232,11.091,1.95,11.45,,2.6042,,2.01,0.9403,1.145,,10.523,7.4115,20.038,6.51,6.8185,5.3835,
03-Jan-07,5649.35,49.58,25.48,24.048,28.2,40.5,4.1,23.221,35.12,21.931,36.773,58.798,15.916,28.16,18.029,79,8.2009,9.0391,9.7788,12.942,1.311,6.8961,6.29,3.44,,24.551,7.559,,7.6853,,7.6324,15.335,2.5775,31.913,11.48,22.163,37.273,14.84,18.166,4.8676,20.294,2.25,17.467,,21,8.94,23.02,4.1,5.55,16.673,1.6482,5.8631,3.5218,9.4059,1.6413,13.511,9.4375,1.301,5.7,4.3506,7.3566,58.98,,3.92,,15.076,5.0836,,0.6595,35.401,4.68,5.175,7.3532,4.22,1.3961,,11.3,9.6737,16.27,2.9692,2.7771,9.174,11.307,1.9,11.4,,2.5947,,2.03,0.9308,1.13,,10.659,7.4485,19.779,6.47,6.7606,5.3304,
04-Jan-07,5584.833,49,24.37,23.938,28.3,40.01,4.04,23.013,35.028,21.781,35.768,56.305,15.955,28.4,18.337,77.5,8.1818,8.8637,9.6921,12.783,1.336,6.7558,6.29,3.33,,23.45,7.6286,,7.7848,,7.6324,16.216,2.6574,30.77,11.41,21.892,36.476,15.25,18.098,4.8676,19.635,2.25,17.255,,20.503,8.82,23.15,4.05,5.4,16.673,1.6434,5.7386,3.5037,9.3475,1.6494,13.472,9.4375,1.3058,5.63,4.2938,7.4053,58.79,,3.89,,14.856,5.0933,,0.6595,34.586,4.64,5.0936,7.4778,4.17,1.4011,,11.55,9.8979,16.25,3.0163,2.7675,9.4143,11.541,1.9,11.5,,2.5851,,2,0.9023,1.135,,10.126,7.3744,19.729,6.54,6.722,5.3127,
05-Jan-07,5572.05,48.74,24.14,23.729,28,40,4.1,23.221,35.037,21.358,35.095,55.446,16.095,29.7,18.038,78,8.2774,8.9098,9.6344,12.793,1.346,6.7838,6.42,3.25,,23.018,7.5987,,7.8645,,7.7174,16.39,2.5775,31.121,11.46,21.734,36.318,15.07,18.031,4.9298,19.79,2.27,17.293,,20.116,8.73,22.82,4,5.3,16.683,1.6482,5.6496,3.4583,9.4644,1.6274,13.403,9.3049,1.3058,5.59,4.3222,7.3956,57.48,,3.92,,14.808,5.1128,,0.6595,33.934,4.65,5.0122,7.4778,4.14,1.4011,,11.39,9.8473,16.31,3.1483,2.7675,9.2832,11.494,1.9,11.2,,2.5851,,1.945,0.9118,1.135,,10.078,7.3744,19.579,6.47,6.5868,5.3304,
08-Jan-07,5501.952,48.67,23.86,23.41,27.51,39.75,4.06,22.587,34.583,20.765,35.348,54.815,15.877,28.8,17.765,75.74,8.2105,8.8729,9.5285,12.634,1.324,6.6341,6.38,3.25,,22.128,7.549,,7.6554,,7.5946,15.974,2.6138,30.462,11.45,21.119,35.885,14.75,17.625,4.841,19.529,2.28,17.148,,19.858,8.63,22.57,3.98,5.2,16.683,1.6339,5.614,3.4765,9.737,1.6044,13.235,9.2385,1.3058,5.55,4.4073,7.5123,56.2,,3.87,,14.473,5.1322,,0.6966,32.997,4.6,4.9553,7.4389,4.07,1.3961,,11.36,9.7388,15.77,2.988,2.7388,9.2286,10.931,1.9,11.09,,2.6521,,1.945,0.9023,1.13,,9.845,7.3744,19.549,6.3,6.5674,5.2773,
09-Jan-07,5589.739,49.51,24.7,23.938,27.69,40.4,4.1,22.696,35.157,21.208,35.26,56.502,16.095,28.5,17.906,76.6,8.5932,9.0483,9.8173,12.753,1.365,6.737,6.54,3.25,,22.752,7.5789,,7.6853,,7.6418,16.119,2.6574,31.078,11.6,21.781,35.836,15.18,17.929,4.8854,19.49,2.33,16.926,,20.156,8.68,23.04,4.05,5.15,16.771,1.6529,5.6674,3.5128,9.5715,1.6512,13.59,9.4375,1.325,5.68,4.3695,7.5707,55.79,,3.94,,14.645,5.1517,,0.6843,33.608,4.6,5.0122,7.3376,4.14,1.426,,11.35,9.8039,16.1,3.0823,2.7388,9.4525,11.419,1.92,11.37,,2.6138,,1.94,0.9118,1.22,,9.9129,7.4856,19.46,6.53,6.4419,5.3658,
10-Jan-07,5520.916,48.82,24.01,23.699,27.62,39.65,4.09,22.607,34.481,21.171,34.45,55.288,16.017,28.54,17.642,76.5,8.5837,9.1407,9.6921,12.574,1.415,6.7277,6.35,3.21,,22.284,7.6286,,7.6355,,7.5568,16.264,2.5122,30.374,11.42,21.399,35.294,15.15,17.76,4.8143,18.948,2.31,16.849,,19.659,8.56,22.94,4.02,5.04,16.752,1.6196,5.614,3.4674,9.3378,1.6462,13.324,9.3712,1.3202,5.59,4.3619,7.4442,56,,3.94,,14.358,5.1419,,0.6802,32.671,4.53,5.0204,7.322,4.06,1.431,,11.35,9.8111,15.76,3.1671,2.8345,9.4471,10.987,1.92,11.25,,2.633,,1.94,0.9213,1.165,,10,7.4485,19.28,6.53,6.3453,5.3304,
11-Jan-07,5564.85,48.7,24.62,23.968,27.94,39.85,4.12,22.666,34.815,21.231,34.372,56.463,16.157,29.02,17.88,76.86,8.7176,9.0576,9.721,12.624,1.48,6.7651,6.41,3.21,,22.22,7.6883,,7.5658,,7.7079,16.458,2.5703,30.638,11.4,21.799,36.87,15.2,17.929,4.8765,18.861,2.33,16.994,,19.481,8.54,22.91,4.03,5.1,16.791,1.6244,5.4983,3.54,9.3767,1.6494,13.413,9.2283,1.325,5.69,4.3903,7.5415,55.7,,4.07,,14.386,5.1711,,0.6925,33.119,4.58,5.1262,7.322,4.01,1.436,,11.3,9.4858,16.3,3.2048,2.9494,9.6218,11.213,1.93,11.4,,2.6138,,1.93,0.9308,1.205,,10.126,7.4485,19.131,6.7,6.3453,5.3658,
12-Jan-07,5638.771,49.4,25.1,24.177,28.12,40.4,4.14,22.924,35.491,21.381,34.938,57.969,16.328,29.99,18.214,79.18,9.0908,9.1314,9.8269,12.753,1.479,6.8868,6.53,3.27,,22.725,7.6385,,7.7152,,7.6985,17,2.6138,30.77,11.53,21.725,37.805,15.49,18.132,4.8765,19.384,2.36,17.438,,19.957,8.65,22.78,3.98,5.2,16.752,1.6291,5.5161,3.5672,9.5228,1.6719,13.383,9.3355,1.3298,5.66,4.4603,7.6291,57.3,,4,,14.53,5.1905,,0.6843,33.812,4.63,5.2482,7.361,4.03,1.426,,11.67,9.6159,16.48,3.2991,2.9877,9.6546,11.438,1.97,11.35,,2.633,,1.95,0.9498,1.205,,10.281,7.4485,19.41,6.75,6.4515,5.3481,
15-Jan-07,5673.819,49.71,25.25,24.177,28.2,40.4,4.22,23.013,36.057,21.651,35.504,57.962,16.421,30.3,18.346,79.4,9.043,9.0945,9.9039,12.883,1.459,6.9335,6.5,3.34,,23.303,7.6783,,7.6853,,7.7457,17.039,2.5993,30.506,11.54,22.107,37.559,15.61,18.166,4.8943,19.848,2.38,17.448,,20.235,8.6,23.12,4.06,5.16,16.752,1.6482,5.5606,3.5582,9.5423,1.6853,13.472,9.4783,1.3394,5.69,4.6249,7.6096,57.59,,3.95,,14.473,5.21,,0.6802,33.486,4.68,5.1912,7.5323,4.15,1.431,,11.62,9.652,16.8,3.3557,2.9303,9.7583,11.504,2.04,11.3,,2.6904,,2.18,1.0448,1.215,,10.31,7.4856,19.719,6.73,6.5771,5.3304,
